time,inst,cpy cycles,misses,pages,switches,bus,pref
10329,7,12,12431,0,0,0,186
9012,7,13,11127,0,0,0,171
8363,12,11,10695,0,0,0,1126
7900,7,10,9990,0,0,0,187
5966,7,8,8049,0,0,0,164
3715,7,6,5849,0,0,0,167
3558,7,6,5685,0,0,0,161
3470,7,5,5603,0,0,0,169
2639,7,5,4985,0,0,0,189
2239,7,4,4367,0,0,0,172
1333,7,3,3494,0,0,0,154
1014,13,7,6966,0,0,0,668
642,7,9,7570,0,0,0,160
636,7,3,3080,0,0,0,170
564,7,3,2717,0,0,0,177
557,7,3,2723,0,0,0,179
553,7,5,4252,0,0,0,215
504,7,12,10105,0,0,0,198
493,7,7,6326,0,0,0,204
491,7,3,3013,0,0,0,176
489,7,11,9460,0,0,0,207
488,7,11,10153,0,0,0,186
483,7,5,4883,0,0,0,192
482,7,2,2598,0,0,0,151
476,7,4,3994,0,0,0,192
472,7,4,4061,0,0,0,209
466,7,2,2646,0,0,0,151
465,7,2,2465,0,0,0,152
463,7,5,4843,0,0,0,187
463,7,11,9979,0,0,0,197
449,7,2,2611,0,0,0,151
448,7,2,2579,0,0,0,171
446,7,6,5279,0,0,0,183
442,7,2,2590,0,0,0,166
441,7,3,3187,0,0,0,234
436,7,4,4025,0,0,0,176
431,7,4,3586,0,0,0,204
429,7,2,2609,0,0,0,161
428,7,3,3047,0,0,0,171
426,7,7,6352,0,0,0,161
419,7,4,4108,0,0,0,182
419,7,6,5558,0,0,0,184
417,7,3,2716,0,0,0,192
415,7,4,3571,0,0,0,265
414,7,5,5077,0,0,0,214
409,7,5,4288,0,0,0,182
407,7,3,2779,0,0,0,199
406,7,7,6339,0,0,0,182
403,7,4,3628,0,0,0,247
395,7,4,3990,0,0,0,165
393,7,3,2795,0,0,0,149
390,7,4,3742,0,0,0,241
380,7,3,3226,0,0,0,237
377,7,3,3116,0,0,0,146
373,7,3,2731,0,0,0,180
369,7,4,3534,0,0,0,220
369,7,2,2636,0,0,0,166
366,7,2,2572,0,0,0,166
364,7,3,3366,0,0,0,219
358,7,5,4862,0,0,0,194
357,7,4,3744,0,0,0,182
353,7,4,4346,0,0,0,155
353,7,5,4697,0,0,0,174
348,7,5,4802,0,0,0,225
348,7,3,3313,0,0,0,238
348,7,4,3614,0,0,0,228
344,7,3,3273,0,0,0,233
344,7,4,4116,0,0,0,147
341,7,5,5233,0,0,0,229
341,7,2,2456,0,0,0,151
340,7,4,3534,0,0,0,211
340,7,4,3857,0,0,0,199
