time,inst,cpy cycles,misses,pages,switches,bus,pref
1700,7,4,3737,0,0,0,149
968,13,7,6933,0,0,0,666
517,7,4,3913,0,0,0,203
326,7,4,3984,0,0,0,175
287,7,3,3297,0,0,0,192
261,7,4,3750,0,0,0,166
254,7,4,3911,0,0,0,179
254,7,5,4448,0,0,0,191
253,7,5,4487,0,0,0,155
250,7,4,3585,0,0,0,179
244,7,3,3393,0,0,0,172
236,7,4,3830,0,0,0,164
221,7,3,3150,0,0,0,171
219,7,2,2513,0,0,0,179
219,7,3,3042,0,0,0,219
214,7,4,3445,0,0,0,172
211,7,3,2609,0,0,0,166
211,7,2,2573,0,0,0,174
210,7,3,2854,0,0,0,179
209,7,4,3499,0,0,0,221
207,7,2,2546,0,0,0,171
205,7,3,3386,0,0,0,217
204,7,4,3592,0,0,0,168
203,7,4,3362,0,0,0,172
203,7,3,2737,0,0,0,164
198,7,4,3621,0,0,0,206
197,7,3,3342,0,0,0,194
195,7,3,3256,0,0,0,195
195,7,3,2865,0,0,0,212
193,7,3,3085,0,0,0,219
190,7,4,3510,0,0,0,216
186,7,3,2814,0,0,0,179
182,7,3,3108,0,0,0,174
182,7,3,3119,0,0,0,226
180,7,3,2739,0,0,0,145
179,7,3,3379,0,0,0,215
178,7,3,3109,0,0,0,157
178,7,2,2524,0,0,0,178
177,7,3,3192,0,0,0,152
177,7,3,2923,0,0,0,154
174,7,4,4006,0,0,0,171
174,7,2,2549,0,0,0,164
174,7,3,2841,0,0,0,221
172,7,2,2405,0,0,0,171
171,7,3,2893,0,0,0,180
170,7,3,2963,0,0,0,185
169,7,4,3480,0,0,0,204
168,7,2,2489,0,0,0,171
166,7,3,3107,0,0,0,191
165,7,3,2871,0,0,0,181
165,7,2,2467,0,0,0,163
162,7,3,2944,0,0,0,207
162,7,2,2547,0,0,0,168
159,7,3,2860,0,0,0,214
159,7,3,2767,0,0,0,181
158,7,2,2347,0,0,0,164
157,7,3,2712,0,0,0,170
157,7,3,3106,0,0,0,179
157,7,3,3121,0,0,0,214
155,7,3,2641,0,0,0,163
154,7,3,3262,0,0,0,177
154,7,3,2806,0,0,0,180
154,7,3,2735,0,0,0,192
152,7,2,2587,0,0,0,190
151,7,2,2233,0,0,0,156
151,7,2,2610,0,0,0,168
150,7,3,2971,0,0,0,176
149,7,4,3886,0,0,0,168
149,7,3,3090,0,0,0,174
149,7,3,3357,0,0,0,189
148,7,2,2387,0,0,0,152
148,7,4,3399,0,0,0,188
146,7,2,2516,0,0,0,155
146,7,3,2902,0,0,0,174
146,7,3,2833,0,0,0,228
145,7,2,2623,0,0,0,193
145,7,2,2420,0,0,0,174
145,7,3,2905,0,0,0,169
145,7,3,3333,0,0,0,210
